Frame,Module,Start_Time,End_Time,Duration_s,Energy_kWh,Emissions_kg,CPU_Usage,Memory_Usage
20,lane_detection,16:32:57.613761,16:32:57.696249,0.0825,0.000000,0.000000,0,0
20,car_overlay_reconstruction,16:32:57.701446,16:32:57.704269,0.0028,0.000000,0.000000,0,0
20,object_detection_yolo,16:32:57.708620,16:32:57.745379,0.0368,0.000000,0.000000,0,0
20,vehicle_analysis_postprocessing,16:32:57.749518,16:32:57.749593,0.0001,0.000000,0.000000,0,0
20,mqtt_communication,16:32:57.753368,16:32:57.753593,0.0002,0.000000,0.000000,0,0
21,lane_detection,16:32:57.786221,16:32:57.863180,0.0770,0.000000,0.000000,0,0
21,car_overlay_reconstruction,16:32:57.869490,16:32:57.872347,0.0029,0.000000,0.000000,0,0
21,object_detection_yolo,16:32:57.878299,16:32:57.915437,0.0371,0.000000,0.000000,0,0
21,vehicle_analysis_postprocessing,16:32:57.921892,16:32:57.921997,0.0001,0.000000,0.000000,0,0
21,mqtt_communication,16:32:57.928101,16:32:57.928398,0.0003,0.000000,0.000000,0,0
22,lane_detection,16:32:57.963365,16:32:58.043784,0.0804,0.000000,0.000000,0,0
22,car_overlay_reconstruction,16:32:58.050148,16:32:58.053112,0.0030,0.000000,0.000000,0,0
22,object_detection_yolo,16:32:58.059003,16:32:58.095968,0.0370,0.000000,0.000000,0,0
22,vehicle_analysis_postprocessing,16:32:58.099859,16:32:58.099935,0.0001,0.000000,0.000000,0,0
22,mqtt_communication,16:32:58.103879,16:32:58.104197,0.0003,0.000000,0.000000,0,0
23,lane_detection,16:32:58.132471,16:32:58.215344,0.0829,0.000000,0.000000,0,0
23,car_overlay_reconstruction,16:32:58.221774,16:32:58.224680,0.0029,0.000000,0.000000,0,0
23,object_detection_yolo,16:32:58.230755,16:32:58.268352,0.0376,0.000000,0.000000,0,0
23,vehicle_analysis_postprocessing,16:32:58.275279,16:32:58.275403,0.0001,0.000000,0.000000,0,0
23,mqtt_communication,16:32:58.282676,16:32:58.283028,0.0004,0.000000,0.000000,0,0
24,lane_detection,16:32:58.328949,16:32:58.410236,0.0813,0.000000,0.000000,0,0
24,car_overlay_reconstruction,16:32:58.415380,16:32:58.418165,0.0028,0.000000,0.000000,0,0
24,object_detection_yolo,16:32:58.422536,16:32:58.458611,0.0361,0.000000,0.000000,0,0
24,vehicle_analysis_postprocessing,16:32:58.463001,16:32:58.463131,0.0001,0.000000,0.000000,0,0
24,mqtt_communication,16:32:58.467327,16:32:58.467573,0.0002,0.000000,0.000000,0,0
25,lane_detection,16:32:58.503145,16:32:58.593118,0.0900,0.000000,0.000000,0,0
25,car_overlay_reconstruction,16:32:58.597170,16:32:58.599494,0.0023,0.000000,0.000000,0,0
25,object_detection_yolo,16:32:58.603209,16:32:58.639166,0.0360,0.000000,0.000000,0,0
25,vehicle_analysis_postprocessing,16:32:58.643154,16:32:58.643252,0.0001,0.000000,0.000000,0,0
25,mqtt_communication,16:32:58.647062,16:32:58.647321,0.0003,0.000000,0.000000,0,0
26,lane_detection,16:32:58.680577,16:32:58.763222,0.0826,0.000000,0.000000,0,0
26,car_overlay_reconstruction,16:32:58.769720,16:32:58.772733,0.0030,0.000000,0.000000,0,0
26,object_detection_yolo,16:32:58.778877,16:32:58.815916,0.0370,0.000000,0.000000,0,0
26,vehicle_analysis_postprocessing,16:32:58.822707,16:32:58.822808,0.0001,0.000000,0.000000,0,0
26,mqtt_communication,16:32:58.828854,16:32:58.829163,0.0003,0.000000,0.000000,0,0
27,lane_detection,16:32:58.864197,16:32:58.940886,0.0767,0.000000,0.000000,0,0
27,car_overlay_reconstruction,16:32:58.945094,16:32:58.947392,0.0023,0.000000,0.000000,0,0
27,object_detection_yolo,16:32:58.950979,16:32:58.987025,0.0360,0.000000,0.000000,0,0
27,vehicle_analysis_postprocessing,16:32:58.991067,16:32:58.991146,0.0001,0.000000,0.000000,0,0
27,mqtt_communication,16:32:58.995123,16:32:58.995335,0.0002,0.000000,0.000000,0,0
