Frame,Module,Start_Time,End_Time,Duration_s,CPU_Usage_%,Memory_Usage_MB,Memory_Delta_MB,CPU_Time_User_s,CPU_Time_System_s,Estimated_Energy_Wh
15,lane_detection,16:48:29.022019,16:48:29.110937,0.088918,798.48,2949.78,0.00,0.670000,0.040000,0.00014757
15,car_overlay_reconstruction,16:48:29.111385,16:48:29.114155,0.002770,722.04,2949.78,0.00,0.020000,0.000000,0.00000422
15,object_detection_yolo,16:48:29.114472,16:48:29.149347,0.034875,802.87,2949.78,0.00,0.270000,0.010000,0.00005815
15,vehicle_analysis_postprocessing,16:48:29.149832,16:48:29.149989,0.000158,12690.78,2949.78,0.00,0.010000,0.010000,0.00000359
15,mqtt_communication,16:48:29.150271,16:48:29.150674,0.000402,0.00,2949.78,0.00,0.000000,0.000000,0.00000010
16,lane_detection,16:48:29.179622,16:48:29.262271,0.082649,810.66,2953.28,0.00,0.630000,0.040000,0.00013897
16,car_overlay_reconstruction,16:48:29.262755,16:48:29.265546,0.002790,716.73,2953.28,0.00,0.020000,0.000000,0.00000423
16,object_detection_yolo,16:48:29.265862,16:48:29.300632,0.034771,834.03,2953.28,0.00,0.270000,0.020000,0.00005991
16,vehicle_analysis_postprocessing,16:48:29.301086,16:48:29.301239,0.000154,0.00,2953.28,0.00,0.000000,0.000000,0.00000004
16,mqtt_communication,16:48:29.301512,16:48:29.301853,0.000341,2928.98,2953.28,0.00,0.010000,0.000000,0.00000186
17,lane_detection,16:48:29.330895,16:48:29.421981,0.091087,812.41,2956.16,0.00,0.700000,0.040000,0.00015347
17,car_overlay_reconstruction,16:48:29.422437,16:48:29.425196,0.002759,725.03,2956.16,0.00,0.020000,0.000000,0.00000422
17,object_detection_yolo,16:48:29.425510,16:48:29.460332,0.034821,832.82,2956.16,0.00,0.260000,0.030000,0.00005993
17,vehicle_analysis_postprocessing,16:48:29.460746,16:48:29.460901,0.000154,0.00,2956.16,0.00,0.000000,0.000000,0.00000004
17,mqtt_communication,16:48:29.461184,16:48:29.461531,0.000347,2880.70,2956.16,0.00,0.010000,0.000000,0.00000186
18,lane_detection,16:48:29.490299,16:48:29.581334,0.091035,812.88,2959.16,0.00,0.700000,0.040000,0.00015348
18,car_overlay_reconstruction,16:48:29.581772,16:48:29.584560,0.002788,717.40,2959.16,0.00,0.020000,0.000000,0.00000423
18,object_detection_yolo,16:48:29.584873,16:48:29.619636,0.034763,805.46,2959.16,0.00,0.270000,0.010000,0.00005815
18,vehicle_analysis_postprocessing,16:48:29.620080,16:48:29.620234,0.000153,0.00,2959.16,0.00,0.000000,0.000000,0.00000004
18,mqtt_communication,16:48:29.620505,16:48:29.620785,0.000281,3563.55,2959.16,0.00,0.010000,0.000000,0.00000185
19,lane_detection,16:48:29.649483,16:48:29.740868,0.091385,798.82,2962.16,0.00,0.690000,0.040000,0.00015181
19,car_overlay_reconstruction,16:48:29.741315,16:48:29.744250,0.002935,681.45,2962.16,0.00,0.020000,0.000000,0.00000426
19,object_detection_yolo,16:48:29.744562,16:48:29.779407,0.034845,774.87,2962.16,0.00,0.260000,0.010000,0.00005640
19,vehicle_analysis_postprocessing,16:48:29.779869,16:48:29.780021,0.000152,0.00,2962.16,0.00,0.000000,0.000000,0.00000004
19,mqtt_communication,16:48:29.780306,16:48:29.780652,0.000346,2888.64,2962.16,0.00,0.010000,0.000000,0.00000186
20,lane_detection,16:48:29.809608,16:48:29.900466,0.090858,803.45,2965.16,0.00,0.690000,0.040000,0.00015170
20,car_overlay_reconstruction,16:48:29.900913,16:48:29.903855,0.002942,679.79,2965.16,0.00,0.020000,0.000000,0.00000427
20,object_detection_yolo,16:48:29.904176,16:48:29.939180,0.035003,799.93,2965.16,0.00,0.250000,0.030000,0.00005822
20,vehicle_analysis_postprocessing,16:48:29.939685,16:48:29.939844,0.000159,0.00,2965.16,0.00,0.000000,0.000000,0.00000004
20,mqtt_communication,16:48:29.940122,16:48:29.940483,0.000362,2764.87,2965.16,0.00,0.010000,0.000000,0.00000187
21,lane_detection,16:48:29.979532,16:48:30.070592,0.091060,801.67,2968.16,0.00,0.690000,0.040000,0.00015177
21,car_overlay_reconstruction,16:48:30.071054,16:48:30.073969,0.002915,1029.02,2968.16,0.00,0.030000,0.000000,0.00000604
21,object_detection_yolo,16:48:30.074291,16:48:30.109027,0.034736,806.07,2968.16,0.00,0.260000,0.020000,0.00005817
21,vehicle_analysis_postprocessing,16:48:30.109438,16:48:30.109589,0.000150,0.00,2968.16,0.00,0.000000,0.000000,0.00000004
21,mqtt_communication,16:48:30.109853,16:48:30.110206,0.000353,2835.91,2968.16,0.00,0.010000,0.000000,0.00000186
22,lane_detection,16:48:30.138954,16:48:30.229745,0.090791,804.04,2971.03,0.00,0.680000,0.050000,0.00015173
22,car_overlay_reconstruction,16:48:30.230188,16:48:30.233133,0.002945,679.18,2971.03,0.00,0.020000,0.000000,0.00000427
22,object_detection_yolo,16:48:30.233448,16:48:30.268242,0.034794,775.99,2971.03,0.00,0.250000,0.020000,0.00005641
22,vehicle_analysis_postprocessing,16:48:30.268688,16:48:30.268842,0.000154,0.00,2971.03,0.00,0.000000,0.000000,0.00000004
22,mqtt_communication,16:48:30.269125,16:48:30.269471,0.000346,0.00,2971.03,0.00,0.000000,0.000000,0.00000008
23,lane_detection,16:48:30.298467,16:48:30.389860,0.091393,798.75,2974.03,0.00,0.700000,0.030000,0.00015190
23,car_overlay_reconstruction,16:48:30.390311,16:48:30.393240,0.002929,682.89,2974.03,0.00,0.020000,0.000000,0.00000426
23,object_detection_yolo,16:48:30.393554,16:48:30.428328,0.034774,776.45,2974.03,0.00,0.270000,0.000000,0.00005642
23,vehicle_analysis_postprocessing,16:48:30.428739,16:48:30.428890,0.000150,0.00,2974.03,0.00,0.000000,0.000000,0.00000004
23,mqtt_communication,16:48:30.429169,16:48:30.429518,0.000349,0.00,2974.03,0.00,0.000000,0.000000,0.00000008
24,lane_detection,16:48:30.458478,16:48:30.534164,0.075687,805.95,2977.03,0.00,0.580000,0.030000,0.00012678
24,car_overlay_reconstruction,16:48:30.534521,16:48:30.536949,0.002428,823.70,2977.03,0.00,0.020000,0.000000,0.00000414
24,object_detection_yolo,16:48:30.537216,16:48:30.570874,0.033659,802.17,2977.03,0.00,0.250000,0.020000,0.00005615
24,vehicle_analysis_postprocessing,16:48:30.571218,16:48:30.571332,0.000114,0.00,2977.03,0.00,0.000000,0.000000,0.00000003
24,mqtt_communication,16:48:30.571530,16:48:30.571779,0.000249,0.00,2977.03,0.00,0.000000,0.000000,0.00000006
25,lane_detection,16:48:30.601089,16:48:30.680897,0.079807,801.93,2980.03,0.00,0.610000,0.030000,0.00013313
25,car_overlay_reconstruction,16:48:30.681361,16:48:30.684418,0.003057,981.51,2980.03,0.00,0.020000,0.010000,0.00000607
25,object_detection_yolo,16:48:30.684736,16:48:30.719345,0.034610,809.02,2980.03,0.00,0.270000,0.010000,0.00005817
25,vehicle_analysis_postprocessing,16:48:30.719682,16:48:30.719795,0.000113,0.00,2980.03,0.00,0.000000,0.000000,0.00000003
25,mqtt_communication,16:48:30.719991,16:48:30.720266,0.000274,0.00,2980.03,0.00,0.000000,0.000000,0.00000007
26,lane_detection,16:48:30.749311,16:48:30.838608,0.089297,795.10,2982.91,0.00,0.680000,0.030000,0.00014790
26,car_overlay_reconstruction,16:48:30.839059,16:48:30.842029,0.002970,1010.03,2982.91,0.00,0.030000,0.000000,0.00000605
26,object_detection_yolo,16:48:30.842364,16:48:30.877135,0.034770,805.28,2982.91,0.00,0.250000,0.030000,0.00005822
26,vehicle_analysis_postprocessing,16:48:30.877566,16:48:30.877733,0.000167,0.00,2982.91,0.00,0.000000,0.000000,0.00000004
26,mqtt_communication,16:48:30.878007,16:48:30.878359,0.000352,2839.75,2982.91,0.00,0.010000,0.000000,0.00000186
27,lane_detection,16:48:30.908549,16:48:30.989166,0.080617,818.69,2985.91,0.00,0.620000,0.040000,0.00013692
27,car_overlay_reconstruction,16:48:30.989634,16:48:30.992567,0.002934,681.72,2985.91,0.00,0.020000,0.000000,0.00000427
27,object_detection_yolo,16:48:30.992879,16:48:31.027718,0.034839,803.69,2985.91,0.00,0.270000,0.010000,0.00005824
27,vehicle_analysis_postprocessing,16:48:31.028154,16:48:31.028304,0.000150,0.00,2985.91,0.00,0.000000,0.000000,0.00000004
27,mqtt_communication,16:48:31.028572,16:48:31.028909,0.000337,2966.27,2985.91,0.00,0.010000,0.000000,0.00000186
28,lane_detection,16:48:31.063679,16:48:31.143615,0.079936,800.65,2988.91,0.00,0.610000,0.030000,0.00013322
28,car_overlay_reconstruction,16:48:31.144074,16:48:31.147042,0.002969,1010.59,2988.91,0.00,0.030000,0.000000,0.00000606
28,object_detection_yolo,16:48:31.147357,16:48:31.182221,0.034864,803.12,2988.91,0.00,0.270000,0.010000,0.00005826
28,vehicle_analysis_postprocessing,16:48:31.182673,16:48:31.182823,0.000150,0.00,2988.91,0.00,0.000000,0.000000,0.00000004
